name,buy_price,color_1,color_2,style
air conditioner,2500,none,none,Basic
asteroid,1800,brown,gray,Flashy
azalea bonsai,1500,blue,pink,Iconic
bathroom stall,2000,white,white,Flashy
boomerang,1200,aqua,brown,Iconic
covered wagon,3800,beige,brown,Historical
crane game,1680,pink,pink,Cute
desert cactus,890,green,green,Historical
diver dan,60,yellow,colorful,Sporty
electric guitar,1900,red,red,Rock 'n' Roll
fan,1200,green,aqua,Iconic
flower table,1900,green,red,Cute
glass display case,2000,white,white,Official
gorgeous sofa,120000,red,red,Ornate
hot plate,1680,white,black,Modern
ironing set,1400,red,white,Modern
jukebox,3200,colorful,brown,Historical
karaoke system,2400,gray,gray,Rock 'n' Roll
life ring,20,red,white,Sporty
lunar rover,2560,gray,gray,Flashy
mermaid shelf,40,aqua,pink,Cute
mini cactus,800,green,brown,Basic
minimalist ottoman,1500,white,white,Basic
mr. flamingo,1530,pink,pink,Cute
mrs. flamingo,1530,pink,pink,Cute
mugho bonsai,1800,green,black,Iconic
mummy's casket,4400,yellow,colorful,Historical
ninja sword,9600,brown,brown,Iconic
oil lamp,680,red,aqua,Official
princess bed,80000,aqua,aqua,Cute
regal bookcase,3120,yellow,white,Ornate
regal chair,2100,yellow,white,Ornate
revolving spice rack,800,colorful,brown,Basic
spooky wall lamp,4124,orange,orange,Flashy
stripe bathroom sink,2020,aqua,white,Modern
submarine,8000,yellow,yellow,Sporty
sweets sofa,80000,pink,beige,Cute
tea set,300,yellow,green,Iconic
tiki torch,870,red,brown,Sporty
traffic cone,800,red,red,Rock 'n' Roll
tv camera,5600,gray,gray,Official
typewriter,2400,white,black,Historical
upright vacuum,1800,blue,white,Modern
volleyball net,1800,gray,black,Sporty
washbasin,1200,gray,gray,Flashy
yellow certificate,960,brown,white,Iconic
zero lamp,10000,white,white,Cute
